client_id,isin,position_type,exchange_symbol,series,settled_qty,cut_at
CLI-001,INE009A01021,EQUITY,INFY,EQ,150,2024-09-16T18:00:00
CLI-001,INE040A01034,EQUITY,HDFCBANK,EQ,200,2024-09-16T18:00:00
CLI-001,INE467B01029,EQUITY,WIPRO,EQ,300,2024-09-16T18:00:00
CLI-002,INE009A01021,EQUITY,INFY,EQ,500,2024-09-16T18:00:00
CLI-002,INE062A01020,EQUITY,SBIN,EQ,100,2024-09-16T18:00:00
CLI-003,INE040A01034,EQUITY,HDFCBANK,EQ,75,2024-09-16T18:00:00
CLI-003,INE467B01029,EQUITY,WIPRO,EQ,120,2024-09-16T18:00:00
CLI-004,INE009A01021,EQUITY,INFY,EQ,80,2024-09-16T18:00:00
CLI-004,INE062A01020,EQUITY,SBIN,EQ,60,2024-09-16T18:00:00
CLI-004,INE040A01034,EQUITY,HDFCBANK,EQ,90,2024-09-16T18:00:00
