CLIENT_ID,UTR_REFERENCE,DIRECTION,AMOUNT_PAISE,BANK_STATUS,VALUE_DATE,NARRATION
CLI-001,UTR2024091601,CREDIT,500000000,CONFIRMED,2024-09-16,Inward NEFT from client
CLI-001,UTR2024091602,DEBIT,150000000,CONFIRMED,2024-09-16,Equity purchase settlement
CLI-002,UTR2024091603,CREDIT,1000000000,CONFIRMED,2024-09-15,Opening fund transfer
CLI-002,UTR2024091604,DEBIT,200000000,CONFIRMED,2024-09-16,Purchase settlement
CLI-002,UTR2024091605,CREDIT,50000000,CONFIRMED,2024-09-16,Dividend credit INFY
CLI-003,UTR2024091606,CREDIT,300000000,CONFIRMED,2024-09-16,Inward transfer
CLI-003,UTR2024091607,DEBIT,100000000,CONFIRMED,2024-09-16,Purchase debit
CLI-004,UTR2024091608,CREDIT,120000000,CONFIRMED,2024-09-16,Redemption proceeds
CLI-004,UTR2024091609,DEBIT,80000000,CONFIRMED,2024-09-16,Purchase debit
CLI-004,UTR2024091610,CREDIT,30000000,PENDING,2024-09-16,Pending transfer
CLI-004,UTR2024091610,CREDIT,30000000,PENDING,2024-09-16,Duplicate UTR - same reference
